sector;subsector_L3;subsector_L2;subsector_L1;vehicle_type;technology;aggr_mode;aggr_LDV;aggr_veh;nonmot;aggr_nonmot;det_veh;aggr_bunkers
Freight;trn_freight_road;trn_freight_road_tmp_subsector_L2;trn_freight_road_tmp_subsector_L1;Truck (40t);NG;NA;NA;Freight|Road;NA;NA;Freight|Road|Truck (40t);Freight|w/o bunkers
Freight;trn_freight_road;trn_freight_road_tmp_subsector_L2;trn_freight_road_tmp_subsector_L1;Truck (7.5t);Electric;NA;NA;Freight|Road;NA;NA;Freight|Road|Truck (7.5t);Freight|w/o bunkers
Freight;trn_freight_road;trn_freight_road_tmp_subsector_L2;trn_freight_road_tmp_subsector_L1;Truck (7.5t);FCEV;NA;NA;Freight|Road;NA;NA;Freight|Road|Truck (7.5t);Freight|w/o bunkers
Freight;trn_freight_road;trn_freight_road_tmp_subsector_L2;trn_freight_road_tmp_subsector_L1;Truck (7.5t);Liquids;NA;NA;Freight|Road;NA;NA;Freight|Road|Truck (7.5t);Freight|w/o bunkers
Freight;trn_freight_road;trn_freight_road_tmp_subsector_L2;trn_freight_road_tmp_subsector_L1;Truck (7.5t);NG;NA;NA;Freight|Road;NA;NA;Freight|Road|Truck (7.5t);Freight|w/o bunkers
Pass;Cycle;Cycle_tmp_subsector_L2;Cycle_tmp_subsector_L1;Cycle_tmp_vehicletype;Cycle_tmp_technology;Pass|non-LDV;NA;NA;Pass|Road|Non-Motorized|Cycling;Pass|Road|Non-Motorized;NA;Pass|w/o bunkers
Pass;Domestic Aviation;Domestic Aviation_tmp_subsector_L2;Domestic Aviation_tmp_subsector_L1;Domestic Aviation_tmp_vehicletype;Hydrogen;Pass|non-LDV;NA;Pass|Aviation|Domestic;NA;NA;NA;Pass|w/o bunkers
Pass;Domestic Aviation;Domestic Aviation_tmp_subsector_L2;Domestic Aviation_tmp_subsector_L1;Domestic Aviation_tmp_vehicletype;Liquids;Pass|non-LDV;NA;Pass|Aviation|Domestic;NA;NA;NA;Pass|w/o bunkers
Pass;HSR;HSR_tmp_subsector_L2;HSR_tmp_subsector_L1;HSR_tmp_vehicletype;Electric;Pass|non-LDV;NA;Pass|Rail;NA;NA;Pass|Rail|HSR;Pass|w/o bunkers
Pass;International Aviation;International Aviation_tmp_subsector_L2;International Aviation_tmp_subsector_L1;International Aviation_tmp_vehicletype;Hydrogen;Pass|non-LDV;NA;Pass|Aviation|International;NA;NA;NA;NA
Pass;International Aviation;International Aviation_tmp_subsector_L2;International Aviation_tmp_subsector_L1;International Aviation_tmp_vehicletype;Liquids;Pass|non-LDV;NA;Pass|Aviation|International;NA;NA;NA;NA
Pass;Passenger Rail;Passenger Rail_tmp_subsector_L2;Passenger Rail_tmp_subsector_L1;Passenger Rail_tmp_vehicletype;Electric;Pass|non-LDV;NA;Pass|Rail;NA;NA;Pass|Rail|non-HSR;Pass|w/o bunkers
Pass;Passenger Rail;Passenger Rail_tmp_subsector_L2;Passenger Rail_tmp_subsector_L1;Passenger Rail_tmp_vehicletype;Liquids;Pass|non-LDV;NA;Pass|Rail;NA;NA;Pass|Rail|non-HSR;Pass|w/o bunkers
Pass;Walk;Walk_tmp_subsector_L2;Walk_tmp_subsector_L1;Walk_tmp_vehicletype;Walk_tmp_technology;Pass|non-LDV;NA;NA;Pass|Road|Non-Motorized|Walking;Pass|Road|Non-Motorized;NA;Pass|w/o bunkers
Pass;trn_pass_road;Bus;Bus_tmp_subsector_L1;Bus_tmp_vehicletype;Electric;Pass|non-LDV;NA;Pass|Road|Bus;NA;NA;NA;Pass|w/o bunkers
Pass;trn_pass_road;Bus;Bus_tmp_subsector_L1;Bus_tmp_vehicletype;FCEV;Pass|non-LDV;NA;Pass|Road|Bus;NA;NA;NA;Pass|w/o bunkers
Pass;trn_pass_road;Bus;Bus_tmp_subsector_L1;Bus_tmp_vehicletype;Liquids;Pass|non-LDV;NA;Pass|Road|Bus;NA;NA;NA;Pass|w/o bunkers
Pass;trn_pass_road;Bus;Bus_tmp_subsector_L1;Bus_tmp_vehicletype;NG;Pass|non-LDV;NA;Pass|Road|Bus;NA;NA;NA;Pass|w/o bunkers
Pass;trn_pass_road;trn_pass_road_LDV;trn_pass_road_LDV_2W;Moped;BEV;Pass|Road|LDV;NA;NA;NA;NA;Pass|Road|LDV|Two Wheelers;Pass|w/o bunkers
Pass;trn_pass_road;trn_pass_road_LDV;trn_pass_road_LDV_2W;Moped;Liquids;Pass|Road|LDV;NA;NA;NA;NA;Pass|Road|LDV|Two Wheelers;Pass|w/o bunkers
Pass;trn_pass_road;trn_pass_road_LDV;trn_pass_road_LDV_2W;Motorcycle (50-250cc);BEV;Pass|Road|LDV;NA;NA;NA;NA;Pass|Road|LDV|Two Wheelers;Pass|w/o bunkers
Pass;trn_pass_road;trn_pass_road_LDV;trn_pass_road_LDV_2W;Motorcycle (50-250cc);Liquids;Pass|Road|LDV;NA;NA;NA;NA;Pass|Road|LDV|Two Wheelers;Pass|w/o bunkers
Pass;trn_pass_road;trn_pass_road_LDV;trn_pass_road_LDV_2W;Motorcycle (>250cc);BEV;Pass|Road|LDV;NA;NA;NA;NA;Pass|Road|LDV|Two Wheelers;Pass|w/o bunkers
Pass;trn_pass_road;trn_pass_road_LDV;trn_pass_road_LDV_2W;Motorcycle (>250cc);Liquids;Pass|Road|LDV;NA;NA;NA;NA;Pass|Road|LDV|Two Wheelers;Pass|w/o bunkers
Pass;trn_pass_road;trn_pass_road_LDV;trn_pass_road_LDV_4W;Compact Car;BEV;Pass|Road|LDV;Pass|Road|LDV|Four Wheelers;NA;NA;NA;Pass|Road|LDV|Medium;Pass|w/o bunkers
Pass;trn_pass_road;trn_pass_road_LDV;trn_pass_road_LDV_4W;Compact Car;FCEV;Pass|Road|LDV;Pass|Road|LDV|Four Wheelers;NA;NA;NA;Pass|Road|LDV|Medium;Pass|w/o bunkers
Pass;trn_pass_road;trn_pass_road_LDV;trn_pass_road_LDV_4W;Compact Car;Hybrid Electric;Pass|Road|LDV;Pass|Road|LDV|Four Wheelers;NA;NA;NA;Pass|Road|LDV|Medium;Pass|w/o bunkers
Pass;trn_pass_road;trn_pass_road_LDV;trn_pass_road_LDV_4W;Compact Car;Liquids;Pass|Road|LDV;Pass|Road|LDV|Four Wheelers;NA;NA;NA;Pass|Road|LDV|Medium;Pass|w/o bunkers
Pass;trn_pass_road;trn_pass_road_LDV;trn_pass_road_LDV_4W;Compact Car;NG;Pass|Road|LDV;Pass|Road|LDV|Four Wheelers;NA;NA;NA;Pass|Road|LDV|Medium;Pass|w/o bunkers
Pass;trn_pass_road;trn_pass_road_LDV;trn_pass_road_LDV_4W;Large Car;BEV;Pass|Road|LDV;Pass|Road|LDV|Four Wheelers;NA;NA;NA;Pass|Road|LDV|Large;Pass|w/o bunkers
Pass;trn_pass_road;trn_pass_road_LDV;trn_pass_road_LDV_4W;Large Car;FCEV;Pass|Road|LDV;Pass|Road|LDV|Four Wheelers;NA;NA;NA;Pass|Road|LDV|Large;Pass|w/o bunkers
Pass;trn_pass_road;trn_pass_road_LDV;trn_pass_road_LDV_4W;Large Car;Hybrid Electric;Pass|Road|LDV;Pass|Road|LDV|Four Wheelers;NA;NA;NA;Pass|Road|LDV|Large;Pass|w/o bunkers
Pass;trn_pass_road;trn_pass_road_LDV;trn_pass_road_LDV_4W;Large Car;Liquids;Pass|Road|LDV;Pass|Road|LDV|Four Wheelers;NA;NA;NA;Pass|Road|LDV|Large;Pass|w/o bunkers
Pass;trn_pass_road;trn_pass_road_LDV;trn_pass_road_LDV_4W;Large Car;NG;Pass|Road|LDV;Pass|Road|LDV|Four Wheelers;NA;NA;NA;Pass|Road|LDV|Large;Pass|w/o bunkers
Pass;trn_pass_road;trn_pass_road_LDV;trn_pass_road_LDV_4W;Large Car and SUV;BEV;Pass|Road|LDV;Pass|Road|LDV|Four Wheelers;NA;NA;NA;Pass|Road|LDV|SUV;Pass|w/o bunkers
Pass;trn_pass_road;trn_pass_road_LDV;trn_pass_road_LDV_4W;Large Car and SUV;FCEV;Pass|Road|LDV;Pass|Road|LDV|Four Wheelers;NA;NA;NA;Pass|Road|LDV|SUV;Pass|w/o bunkers
Pass;trn_pass_road;trn_pass_road_LDV;trn_pass_road_LDV_4W;Large Car and SUV;Hybrid Electric;Pass|Road|LDV;Pass|Road|LDV|Four Wheelers;NA;NA;NA;Pass|Road|LDV|SUV;Pass|w/o bunkers
Pass;trn_pass_road;trn_pass_road_LDV;trn_pass_road_LDV_4W;Large Car and SUV;Liquids;Pass|Road|LDV;Pass|Road|LDV|Four Wheelers;NA;NA;NA;Pass|Road|LDV|SUV;Pass|w/o bunkers
Pass;trn_pass_road;trn_pass_road_LDV;trn_pass_road_LDV_4W;Large Car and SUV;NG;Pass|Road|LDV;Pass|Road|LDV|Four Wheelers;NA;NA;NA;Pass|Road|LDV|SUV;Pass|w/o bunkers
Pass;trn_pass_road;trn_pass_road_LDV;trn_pass_road_LDV_4W;Light Truck and SUV;BEV;Pass|Road|LDV;Pass|Road|LDV|Four Wheelers;NA;NA;NA;Pass|Road|LDV|SUV;Pass|w/o bunkers
Pass;trn_pass_road;trn_pass_road_LDV;trn_pass_road_LDV_4W;Light Truck and SUV;FCEV;Pass|Road|LDV;Pass|Road|LDV|Four Wheelers;NA;NA;NA;Pass|Road|LDV|SUV;Pass|w/o bunkers
Pass;trn_pass_road;trn_pass_road_LDV;trn_pass_road_LDV_4W;Light Truck and SUV;Hybrid Electric;Pass|Road|LDV;Pass|Road|LDV|Four Wheelers;NA;NA;NA;Pass|Road|LDV|SUV;Pass|w/o bunkers
Pass;trn_pass_road;trn_pass_road_LDV;trn_pass_road_LDV_4W;Light Truck and SUV;Liquids;Pass|Road|LDV;Pass|Road|LDV|Four Wheelers;NA;NA;NA;Pass|Road|LDV|SUV;Pass|w/o bunkers
Pass;trn_pass_road;trn_pass_road_LDV;trn_pass_road_LDV_4W;Light Truck and SUV;NG;Pass|Road|LDV;Pass|Road|LDV|Four Wheelers;NA;NA;NA;Pass|Road|LDV|SUV;Pass|w/o bunkers
Pass;trn_pass_road;trn_pass_road_LDV;trn_pass_road_LDV_4W;Midsize Car;BEV;Pass|Road|LDV;Pass|Road|LDV|Four Wheelers;NA;NA;NA;Pass|Road|LDV|Large;Pass|w/o bunkers
Pass;trn_pass_road;trn_pass_road_LDV;trn_pass_road_LDV_4W;Midsize Car;FCEV;Pass|Road|LDV;Pass|Road|LDV|Four Wheelers;NA;NA;NA;Pass|Road|LDV|Large;Pass|w/o bunkers
Pass;trn_pass_road;trn_pass_road_LDV;trn_pass_road_LDV_4W;Midsize Car;Hybrid Electric;Pass|Road|LDV;Pass|Road|LDV|Four Wheelers;NA;NA;NA;Pass|Road|LDV|Large;Pass|w/o bunkers
Pass;trn_pass_road;trn_pass_road_LDV;trn_pass_road_LDV_4W;Midsize Car;Liquids;Pass|Road|LDV;Pass|Road|LDV|Four Wheelers;NA;NA;NA;Pass|Road|LDV|Large;Pass|w/o bunkers
Pass;trn_pass_road;trn_pass_road_LDV;trn_pass_road_LDV_4W;Midsize Car;NG;Pass|Road|LDV;Pass|Road|LDV|Four Wheelers;NA;NA;NA;Pass|Road|LDV|Large;Pass|w/o bunkers
Pass;trn_pass_road;trn_pass_road_LDV;trn_pass_road_LDV_4W;Mini Car;BEV;Pass|Road|LDV;Pass|Road|LDV|Four Wheelers;NA;NA;NA;Pass|Road|LDV|Mini;Pass|w/o bunkers
Pass;trn_pass_road;trn_pass_road_LDV;trn_pass_road_LDV_4W;Mini Car;FCEV;Pass|Road|LDV;Pass|Road|LDV|Four Wheelers;NA;NA;NA;Pass|Road|LDV|Mini;Pass|w/o bunkers
Pass;trn_pass_road;trn_pass_road_LDV;trn_pass_road_LDV_4W;Mini Car;Hybrid Electric;Pass|Road|LDV;Pass|Road|LDV|Four Wheelers;NA;NA;NA;Pass|Road|LDV|Mini;Pass|w/o bunkers
Pass;trn_pass_road;trn_pass_road_LDV;trn_pass_road_LDV_4W;Mini Car;Liquids;Pass|Road|LDV;Pass|Road|LDV|Four Wheelers;NA;NA;NA;Pass|Road|LDV|Mini;Pass|w/o bunkers
Pass;trn_pass_road;trn_pass_road_LDV;trn_pass_road_LDV_4W;Mini Car;NG;Pass|Road|LDV;Pass|Road|LDV|Four Wheelers;NA;NA;NA;Pass|Road|LDV|Mini;Pass|w/o bunkers
Pass;trn_pass_road;trn_pass_road_LDV;trn_pass_road_LDV_4W;Subcompact Car;BEV;Pass|Road|LDV;Pass|Road|LDV|Four Wheelers;NA;NA;NA;Pass|Road|LDV|Small;Pass|w/o bunkers
Pass;trn_pass_road;trn_pass_road_LDV;trn_pass_road_LDV_4W;Subcompact Car;FCEV;Pass|Road|LDV;Pass|Road|LDV|Four Wheelers;NA;NA;NA;Pass|Road|LDV|Small;Pass|w/o bunkers
Pass;trn_pass_road;trn_pass_road_LDV;trn_pass_road_LDV_4W;Subcompact Car;Hybrid Electric;Pass|Road|LDV;Pass|Road|LDV|Four Wheelers;NA;NA;NA;Pass|Road|LDV|Small;Pass|w/o bunkers
Pass;trn_pass_road;trn_pass_road_LDV;trn_pass_road_LDV_4W;Subcompact Car;Liquids;Pass|Road|LDV;Pass|Road|LDV|Four Wheelers;NA;NA;NA;Pass|Road|LDV|Small;Pass|w/o bunkers
Pass;trn_pass_road;trn_pass_road_LDV;trn_pass_road_LDV_4W;Subcompact Car;NG;Pass|Road|LDV;Pass|Road|LDV|Four Wheelers;NA;NA;NA;Pass|Road|LDV|Small;Pass|w/o bunkers
Pass;trn_pass_road;trn_pass_road_LDV;trn_pass_road_LDV_4W;Van;BEV;Pass|Road|LDV;Pass|Road|LDV|Four Wheelers;NA;NA;NA;Pass|Road|LDV|Van;Pass|w/o bunkers
Pass;trn_pass_road;trn_pass_road_LDV;trn_pass_road_LDV_4W;Van;FCEV;Pass|Road|LDV;Pass|Road|LDV|Four Wheelers;NA;NA;NA;Pass|Road|LDV|Van;Pass|w/o bunkers
Pass;trn_pass_road;trn_pass_road_LDV;trn_pass_road_LDV_4W;Van;Hybrid Electric;Pass|Road|LDV;Pass|Road|LDV|Four Wheelers;NA;NA;NA;Pass|Road|LDV|Van;Pass|w/o bunkers
Pass;trn_pass_road;trn_pass_road_LDV;trn_pass_road_LDV_4W;Van;Liquids;Pass|Road|LDV;Pass|Road|LDV|Four Wheelers;NA;NA;NA;Pass|Road|LDV|Van;Pass|w/o bunkers
Pass;trn_pass_road;trn_pass_road_LDV;trn_pass_road_LDV_4W;Van;NG;Pass|Road|LDV;Pass|Road|LDV|Four Wheelers;NA;NA;NA;Pass|Road|LDV|Van;Pass|w/o bunkers
